bigram,n11_papy_and_term,n01_gen_and_term,n10_papy_no_term,n00_gen_no_term,p_papy_docs,p_gen_docs,mi_bits
end previous,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
end word,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
enjoy watch,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
exampl good,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
experi papyrolog,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
expert abl,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
expert field,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
expert papyrologist,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
fanci capit,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
father law,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
field papyrolog,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
form imag,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
fun tri,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
futur imag,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
goal read,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
good photograph,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
good read,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
greek term,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
greek use,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
help ton,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
histor context,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
hope peopl,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
imag infrar,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
imag papyri,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
imag provid,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
imag releas,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
incred use,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
info need,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
ink left,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
instead omikron,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
introduc quotat,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
iota adscript,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
iota subscript,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
ivori tower,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
jp said,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
kheir make,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
lack space,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
larger imag,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
law julius,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
letter announc,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
letter column,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
letter lol,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
letter probabl,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
look omega,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
look space,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
look τουτο,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
lot scroll,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
mediev parchment,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
member papyrolog,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
middl line,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
msi 90,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
mysteri word,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
napl scroll,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
need context,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
need data,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
occur twice,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
omega instead,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
one hand,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
output predict,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
outsid field,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
page websit,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
papyri egypt,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
papyrolog ancient,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
papyrologist mention,2,0,1540,6278,0.197187,0.802813,0.000519695071420684
